,kmeans,dbscan,agglomerative
0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
tot_kmeans,0.0,0.0,0.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,0.0,0.0,0.0
#TP,0.0,1.0,0.0
#FP,0.0,0.0,0.0
#TN,451.0,450.0,451.0
#FN,0.0,0.0,0.0
Accuracy,1.0,1.0,1.0
Precision,0.0,1.0,0.0
Recall,0.0,1.0,0.0
F1,0.0,0.0,0.0
Max_score,0.0,0.0,0.0
172.31.69.25,0.0,0.0,0.0
Time,1111.0,1111.0,1111.0
2.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
7.0,0.0,0.0,1.0
tot_kmeans,0.0,0.0,0.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,1.0,1.0,1.0
#TP,0.0,1.0,1.0
#FP,0.0,4.0,0.0
#TN,441.0,436.0,440.0
#FN,0.0,0.0,0.0
Accuracy,1.0,0.9909297052154195,1.0
Precision,0.0,0.2,1.0
Recall,0.0,1.0,1.0
F1,1.0,1.0,1.0
Max_score,0.0,0.0,0.0
172.31.69.25,0.0,0.0,0.0
Time,1111.0,1111.0,1111.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
tot_kmeans,0.0,0.0,0.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,0.0,0.0,0.0
#TP,0.0,1.0,0.0
#FP,6.0,6.0,4.0
#TN,58.0,57.0,60.0
#FN,0.0,0.0,0.0
Accuracy,0.90625,0.90625,0.9375
Precision,0.0,0.14285714285714285,0.0
Recall,0.0,1.0,0.0
F1,0.0,0.0,0.0
Max_score,0.0,-5.163673169204238,0.0
172.31.69.25,-0.9904771392505578,-0.9904771392505578,-0.9904771392505578
Time,1111.0,1111.0,1111.0
